,Adresse,latitude,longitude
201,Krabbenkamp 11 Duisburg 47138,51.4552916,6.7816881
202,Schlauden 26 Bielefeld 33719,52.0305305,8.6000855
203,Zementfabrik Hardegsen 37181,51.6549985,9.8480986
204,Kirchhoffstraße Gummersbach 51647,51.0497912,7.5404923
205,Chemnitzer Straße 61b Frankenberg (Sa.) 9669,50.9057889,13.0214581
206,Zeppelinstraße 28 Markgröningen 71706,48.9026972,9.0938815
207,Wibschla 31 Lüdenscheid 58509,51.2260474,7.6652578
208,Chemnitzer Straße 61b Frankenberg 9669,50.9057889,13.0214581
209,An der Talle 27-31 Paderborn 33102,51.7498054,8.7554427
210,Kirchstraße 5 Budenheim 55257,50.0265783,8.1749168
211,Haifa-Allee 1 Mainz-Bretzenheim 55128,49.9674086,8.2281293
212,ludwig-Guttmann-Str. 13 Ludwigshafen 67071,49.4856064,8.3886971
213,Großenbaumer Allee 250 Duisburg 47249,51.3803084,6.7825641
214,Bergedorfer Straße 10 Hamburg 21033,53.5063455,10.1767027
215,Porf.-Künt.-Str. 8 Murnau 82418,,
216,Am Stahlwerk 1 Freital 1705,51.0001465,13.6397959
217,Eiserfelder Straße 62 Siegen 57072,50.8666059,8.0091556
218,John-Deere Str 3 Bruchsal 76646,49.1307042,8.5658396
219,Sansenhecken 1 Buchen 74722,49.5048008,9.3118602
220,Rasselsteiner Str. 101 Neuwied 56564,50.4530892,7.4660098
221,Paul Engel Str. 1 Weiherhammer 92729,49.6332597,12.0618708
222,Obere Bauscherstr. 1 Weiden 92637,49.6667385,12.1553384
223,Im Weinhof 36 Hagen 58119,51.3543999,7.5605577
224,Ludwig-Thoma-Str. 9 Bayreuth 95447,49.9353593,11.570527
225,In d. Au 20 Sinsheim 74889,,
226,Senator-Apelt-Straße 90 Bremen 28197,53.0734631,8.767315
227,Rathendorfer Str. Penig 9322,50.9900786,12.6944185
228,Geisfelder Str. 85 Bamberg 96050,49.8898216,10.9198867
229,Josef-Rethmann-Str. 4 Lünen 44536,51.6195271,7.4724246
230,Aalener Str. 60 Gaildorf 74405,48.9757217,9.8073787
231,Kreimershoek 11 Hörstel 48477,52.2715405,7.5658921
232,Lorenzstraße 2-6 Stutensee 76297,49.0768489,8.4571652
233,Hellerwald Boppard 56154,50.2100407,7.5555377
234,Piepersberg 30 Solingen 42653,51.2136287,7.0678177
235,Industriestraße 3 Kodersdorf 2923,51.225443,14.9130776
236,Am Fliegerhorst 17 Bad Langensalza 99947,51.1241175,10.6298914
237,Egellsstraße 21 Berlin 13507,52.5804329,13.2839757
238,Roland-Schmid-Straße 1 Elsterwerda 4910,51.4682259,13.5011908
239,Raffineriestraße 1 Lingen 49808,52.5576654,7.3085218
240,Ohlerhammer 1 Wiehl 51674,50.946631,7.5652322
241,Carl-Benz-Str. 30 Bremen 28237,53.1418449,8.6917622
242,Robert-Bosch-Straße 16 Dillingen 89407,48.5841206,10.490598
243,Beiersdorfstraße 1 Emmerich 46446,51.8417772,6.2727472
244,Köpenicker Str. 32 Berlin 12489,52.4190124,13.5380352
245,Jakob-Dieffenbacher-Str. 5 Eppingen 75031,49.1498754,8.921905
246,Mathias-Blank-Straße 20 Freiburg 79115,47.9954005,7.8200944
247,Carl-Benz-Str. 2 Weilheim an der Teck 73235,48.6227014,9.5464326
248,Untere Strut 1 Bühl 77815,48.7116332,8.1351144
249,Röntgenstr. 5 Verden 27283,52.8537948,9.2444851
250,Im Pfarrwald 1 Badenweiler 79410,47.7995241,7.6730255
251,Rothaus 1 Grafenhausen 79865,47.793995,8.2474841
252,Graudenzer Str. 45 Kehl 77694,48.6001979,7.8221602
253,Am Hilgenberg 1 Lingen (Ems) 49811,52.4735244,7.3249726
254,Hermann-Bahlsen-Str. 12 Barsinghausen 30890,52.3140937,9.4668073
255,Wollhausstraße 60-62 Heilbronn 74072,49.1387501,9.2299997
256,Sägmühleweg 18 Baiersbronn 72270,48.4971313,8.3747163
257,Gennaerstr  2-4 Letmathe 58642,51.3647078,7.6199028
258,Bremer Feld 1-4 Delmenhorst 27749,53.0494577,8.6430469
259,Emscherstraße 46 Gelsenkirchen 45891,51.5464847,7.0843139
260,Rheinweg 7 Worms 67550,49.6907169,8.3539725
261,Theresienstraße 32  Bamberg  96050,49.8874632,10.9136191
262,Mannesmannstrasse 101 Duisburg 47259,51.3655,6.7193084
263,Bockhoper Straße 7 Siedenburg 27254,52.6819246,8.9602933
264,Wasastr. 10 Celle 29229,52.6432834,10.0985016
265,Einsiedeldeich 7-9  Hamburg 20539,53.5285878,10.0285001
266,Kofeld 4 Bodnegg 88285,47.7365431,9.7006206
267,E.-C.-Baumann-Str. 5 Kulmbach 95326,50.1111964,11.4444045
268,Nürnberger Str. 68 Alheim-Heinebach 36211,51.0409234,9.6712261
269,Crailsheimer Straße 52 Schwäbisch Hall 74523,49.1128739,9.7466621
270,"Veltener Straße, 12/13 Oranienburg 16515",52.7401388,13.176941
271,Friedrich-Ebert-Alle 21 Bad Reichenhall 83435,,
272,Rehainer Str. 5 Jessen 6917,51.7930429,12.949665
273,Dostlerstraße 3 München 80809,48.1773054,11.5629168
274,Badstraße 31 Bad Steben 95138,50.363634,11.6343373
275,Am Blätterrangen Arzberg 95659,50.0745436,12.1725789
276,Am Alten Bahndamm 7 Mühlhausen/Thüringen  99974,51.1950348,10.4779552
277,Claude-Breda-Straße 6 Bernburg 6406,51.8042576,11.6977238
278,Brunnenstraße 138 Lünen 44536,51.6168033,7.4634514
279,Alfred-Lange-Str. 10 Freiberg 9599,50.9091499,13.3688139
280,Hansastraße 40 Lippstadt 59557,51.6515431,8.3511098
281,Berzeliusstraße 35 Hamburg 22113,53.5353361,10.0913641
282,Königstraße 3 Barßel-Harkebrügge 26676,53.1334174,7.8084683
283,Beneckeallee 40 Hannover  30419,52.4234832,9.7082971
284,Niederdarmer Straße 5 Lingen 49811,52.4688578,7.3170652
285,Weixlerstraße 16 Waging am See 83329,47.9345934,12.7312257
286,Schernerweg 4 Gelsenkirchen 45894,51.5708201,7.0605878
287,Marienthal 10 Bad Liebenstein 36448,50.8077714,10.3306036
288,Lebensweg 1 Beckum 59269,51.7866548,8.005154
289,Berkenhoffstraße 14 Heuchelheim 35452,50.58672,8.6189855
290,Glienicker Weg 125 Berlin 12489,52.4335981,13.5569239
291,Öschle 2 Kraftisried 87647,47.7680587,10.463465
292,Graf Zeppelin Str25 Nagold 72202,48.5423374,8.7543287
293,Mittlerer Weg 2 Philippsburg 76661,49.2214036,8.4720723
294,Lloydstraße 6 Bremervörde 27432,53.489463,9.1175358
295,Liebigstraße 64 Hamburg 22113,53.5324827,10.0937125
296,Sulgenerstraße 21-23 Aichhalden 78733,48.258369,8.4107892
297,Am Haag 11 Gräfelfing 82166,48.1246404,11.4501655
298,Kölner Straße 92 Attendorn 57439,51.1187618,7.8921989
299,Industriestrasse 10 Südlohn-Oeding 46354,51.9348606,6.821922
300,Daimlerstrasse 20 Südlohn-Oeding 46354,51.9385412,6.8242591
301,Lindenallee 2 Günzburg 89312,48.4592384,10.2963769
302,Industriestraße 9 Kirchheim 36275,50.8316467,9.570522
303,Einsteinstrasse 9 Kösching 85092,48.7936938,11.5092987
304,An der Birkenpfuhlheide 1 Baruth 15837,52.0672656,13.5100878
305,Grimmenstein 10 Wolfegg 88364,47.8248694,9.8101663
306,Am Troistedter Weg 6 Nohra 99428,50.9606566,11.234354
307,Xaver-Fendt-Straße 6 Buchloe 86807,48.0470235,10.716497
308,Hinterberg 59 Friesoythe 26169,52.9790724,7.761002
309,Buchenberg 80 Lünen 44532,51.6010662,7.5054243
310,Luckenwalder Landstraße 2 Baruth 15837,52.0500779,13.4694284
311,Auf dem Hals 16 Wölfersheim - Berstadt 61200,,
312,Walter-Kersten-Straße 22 Aschersleben 6449,51.7750432,11.4384949
313,Am Brenzer Kanal 11 Brenz 19306,53.3849793,11.6362443
314,Knellwiese 1 Flechtingen 39345,52.3450859,11.2487108
315,Groß Tessin 3 Reimershagen 18276,53.6802212,12.2318418
316,Lange Lauchstädter Straße 53 Teutschenthal 6179,51.4291936,11.8347665
317,Schlenzer Weg 20 Niederer Fläming OT Nonnendorf 14913,,
318,Karstädter Chaussee 2 Putlitz 16949,53.2423857,12.0245092
319,Zum Gewerbepark 11 Perleberg 19348,53.0982293,11.8416801
320,Industriestraße 9 Seegebiet Mansfelder Land OT Stedten 6317,,
321,Luckaitzer Straße 11 Luckaitztal /OT Schöllnitz 3229,,
322,Loos 1 a Seelow 15306,52.5470872,14.4163707
323,Weg nach Wulkow 91 Wuthenow 16818,52.9080377,12.8460728
324,Dersewitz 1 a Dersewitz 17391,53.8698032,13.5059094
325,Mertensdorfer Weg 12 Putlitz 16949,53.2418656,12.0573449
326,Im Gewerbepark 5 Oberkrämer 16727,52.7098746,13.1154244
327,Aurea 4 Rheda-Wiedenbrück 33378,51.8317645,8.2116887
328,Am Harbarnser Bahnhof 1 31195 Lamspringe 31195,,
329,Graf-Zeppelin-Straße 2 Liebenscheid 56479,50.7029076,8.0741001
330,Gewerbepark am Wald 18-19 Ilmenau 98693,50.6945437,10.949007
331,Vor der Thalebener Birke Menteroda 99996,51.3207046,10.5773545
332,Kerschensteinerstraße 11-15 Neumarkt 92318,49.2634521,11.4687771
333,Holzerweg 3 Wadern-Lockweiler 66687,49.522162,6.8944283
334,Konrad-Adenauer-Straße 17 Ingelheim 55218,49.9820998,8.0498828
335,Landsteinerstraße 10 Dreieich 63303,50.0065505,8.6997512
336,Löherstraße 52 Fulda 36037,50.5469283,9.6742656
337,Freiensteinauer Str. 27 Steinau an der Straße 36396,50.3979157,9.4270334
338,Gewerbering 8 Görlitz 2828,51.1736499,14.9632393
339,Industriestraße 1 Konzell 94357,49.0835188,12.7255008
340,Rahestraße 47 Lengerich 49525,52.1789936,7.8592504
341,Schreberstraße 17 Bitterfeld-Wolfen 6749,51.6312634,12.3257172
342,Veritasring 6 Meßkirch 88605,48.003519,9.1521585
343,Wilhelm Kraut Str 65 Balingen 72336,48.2681464,8.8515395
344,Ülfe-Wuppertal-Straße 17-19 Radevormwald 42477,,
345,Industriestr. 6-12 Bad Salzuflen 32108,52.0640783,8.7565456
346,Ziegelstadel 1 Isny 88316,47.6877488,10.0591438
347,Weserstraße 5 + 7 Limburg 65549,50.3819117,8.0506826
348,Osterfeldstr.51 Wetter 58300,51.3982122,7.3498507
349,Königswinkel 2  Blomberg 32825,51.9368459,9.0994465
350,Von-Blücher-Str. 2 Premnitz 14727,52.5376895,12.3594859
351,Freudenbergstrasse 45K Bochum 44809,51.4978962,7.197793
352,An der Heide 17-19 Postbauer-Heng 92353,49.2768266,11.3410874
353,"Hauptstraße, 34 Grabstede 26345",53.3660033,7.9928569
354,Friedrichstraße 21 Oschersleben 39387,52.0320481,11.2307016
355,Binger Str. 173 Ingelheim 55218,49.9727703,8.0362828
356,Entenpfuhl 6 Waldfeucht 52525,51.0835752,6.0489814
357,David-Hansemann-Straße 1-25 Übach-Palenberg  52531,50.9158711,6.1459052
358,Eugen-Richter-Str. 27 Erfurt 99085,50.9922188,11.040849
359,David-Hansemann-Straße 1-25 Übach-Palenberg 52531,50.9158711,6.1459052
360,Wilhelmstraße 13 Lingen 49808,52.5245781,7.3153083
361,Industriepark Brundorf 4 Schwanewede 28790,53.2326425,8.6939669
362,Haiminger Strasse 1 Burghausen 84489,48.1989212,12.8363945
363,Marnheimer Str. 85/87 Kirchheimbolanden 67292,49.6588275,8.0164095
364,Nürnberger Straße 73 Gunzenhausen 91710,49.1231498,10.7651807
365,Zum Eisengießer 1 Lohr am Main 97816,49.9994639,9.5757912
366,Laaspher Straße 17 Eschenburg-Eibelshausen 35713,50.8171663,8.3368409
367,Brandstr. 21 Lohne 49393,52.6662701,8.2141009
368,An der Streue 2 Meschede 59872,51.3055356,8.1269551
369,Am Kreuzberg 1 Titting 85135,48.9952316,11.2085721
370,Augsburger Str. 14 Kutzenhausen 86500,48.3431081,10.6972763
371,Langheimer Straße 14 Altenkunstadt 96264,50.1247268,11.2470589
372,De-Vos-Straße 12 Itzehoe 25524,53.9063982,9.4869273
373,Werner-von-Siemens-Strasse 18 Meitingen 86405,48.5556455,10.8645729
374,Zur Hexenbrücke 16 Bremerhaven 27570,53.549147,8.6159271
375,Justus-Kilian-StraÃe 1 Lollar 35457,,
376,Einsteinstraße 157 Oranienbaum-Wörlitz 6785,51.8092396,12.3538739
377,Herscheider Str. 81 Plettenberg 58840,51.2029131,7.8598288
378,Max-Brose-Straße 1 Coburg 96450,50.2510729,10.9656734
379,Eichholzer Str. 23 Marschacht 21436,53.4090843,10.3628189
380,Fabrikstraße 6 Nortorf 24589,54.1740177,9.8503634
381,Peter-Henlein-Str. 1 Regenstauf 93128,49.1089834,12.1185103
382,Dillfeld 40 Wetzlar 35576,50.5731486,8.4851467
383,Buderusstrasse 26 Breidenbach 35236,50.8855633,8.4531812
384,Bonadiesstr. 3-5 Mannheim 68169,49.5050997,8.4504789
385,Gutenbergstr. 1 Offenburg 77654,48.4846287,7.9551044
386,Mainstr. 20 Nürnberg 90451,49.4144737,11.0518906
387,Kartoffelweg 1 Neumarkt 92318,49.2556479,11.4393678
388,Willi-Messerschmitt-Straße 10 Laupheim 88471,,
389,Am Damm 26 Ottersberg 28870,53.1202715,9.1424296
390,Rudolf-Diesel-Straße 2 Edingen-Neckarhausen 68535,49.4700548,8.5869334
391,Georgestraße 5 Solingen 42719,51.1885224,7.0546381
392,Stuttgarter Str. 17 Augsburg 82154,48.3983745,10.8738654
393,Gewerbestraße 27 Guben 3172,51.9545843,14.6601726
394,Im Schäwe 9 Beelitz 14547,52.2242069,12.9662084
395,Rischenweg 1 Rosdorf 37124,51.5105236,9.9091716
