Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
Böseler Goldschmaus GmbH & Co. KG,Industriestraße 10 Garrel 49681,5756444.0
Bünting SCM / Logistik GmbH & Co. KG,Hansastraße 84 Wallenhorst 49134,3372000.0
Bürkert Werke GmbH & Co. KG,Holzener Straße 72 Menden 58708,25700.0
CABB GmbH,Industriestr. 300 Hürth 50351,19984238.0
CIRKEL GmbH & Co.KG,Veltrup 22a Emsdetten 48282,2519148.0
CLAAS Industrietechnik GmbH,Halberstädterstr. 15-19 Paderborn 33106,1350000.0
CLAAS Selbstfahrende Erntemaschinen GmbH,Mühlenwinkel 1 Harsewinkel 33428,935928.0
CMP Cologne GmbH,Neusser Landstraße 16 Köln 50735,9600000.0
COMPO EXPERT GmbH,Ohlendorffstraße 29 Krefeld 47809,67834183.0
CaPlast Kunststoffverarbeitungs GmbH,Magdheide 7 Nordkirchen 59394,914179.0
Calcis Lienen GmbH & Co. KG,Holperdorper Str. 47 Lienen 49536,40595564.0
CarboTech Production GmbH,Elisenstraße 119 Essen 45139,14115144.0
Carl Eichhorn KG,Wymarstrasse 13 Jülich 52428,4647479.0
Carolinen Brunnen GmbH & Co. KG,Detmolder Straße 767 Bielefeld 33699,834513.0
Castellmuehle Krefeld GmbH,Castellweg 4 Krefeld 47809,20296134.0
Celanese Uentrop GmbH,Frielinghauser Str. 5 Hamm (Westfalen) 59071,1912440.0
CemeCon AG,Adenauerstraße 20 A Würselen 52146,5459582.0
Chemische Fabrik Brühl Mare GmbH,Kreuzauer Straße 46 Düren 52355,3794019.0
Chemische Fabrik Wocklum Gebr. Hertin GmbH & Co.KG,Glärbach 2 Balve 58802,11.0
Clear Edge-Germany GmbH,Kevelaererstraße 78 Geldern 47608,2451506.0
Coca-Cola Europacific Partners Deutschland GmbH,Landskronerstraße 175 Bad Neuenahr 53474,3434137.0
Coldstore Hamm GmbH,Kranstraße 34 Hamm 59071,15527171.0
Combi-Verbrauchermarkt Einkaufsstätte GmbH & Co. KG,Trüller Straße 1 Celle 32339,6918000.0
Conditess Feine Kuchen GmbH,Hammer-Tannen-Str. 11 Haselünne 49740,10888507.0
Conditorei Coppenrath & Wiese KG,Hansastraße 10 Mettingen 49497,102300984.0
Constantia Aloform GmbH,Schlacht 2 Werdohl 58791,1060811.0
ContiTech Elastomerbeschichtungen GmbH,Breslauer Str. 14 Northeim 37154,253679.0
ContiTech MGW GmbH,Kasseler Straße 11 Hann Münden 34346,1040000.0
ContiTech Schlauch GmbH,Continentalstr. 3-5 Korbach 34497,6434043.0
ContiTech Transportbandsysteme GmbH,Clausthalstr. 2 Moers 47441,38274355.957
ContiTech Vibration Control GmbH,Breslauer Str. 14 Northeim 37154,1095911.0
Continental Reifen Deutschland GmbH,Continentalstraße 3 Korbach 34497,21412000.0
CoorsTek GmbH,Nobelstraße 6 Mönchengladbach 41189,828000.0
Coroplast Fritz Müller GmbH & Co. KG,Wittener 271 Wuppertal 42279,5953774.0
Covestro Deutschland AG,Neusser Landstraße Gebäude 8 Dormagen 41538,507006736.0
Crespel & Deiters GmbH & Co. KG,Groner Allee 76 Ibbenbüren 49479,50381129.0
Cölner Hofbräu FRÜH GmbH & Co. KG,Robert-Bosch-Str. 15 Köln 50769,2879825.0
DB InfraGO AG,Am Hauptbahnhof 5 Essen 45127,3179670.0
DBW Advanced Fiber Technologies GmbH,Rodetal 40 Bovenden 37120,13975442.0
DK Recycling und Roheisen GmbH,Werthauser Str. 182 Duisburg 47053,228424847.0
DMK Deutsches Milchkontor GmbH,Hauptstraße 2 Beesten 49832,74841505.0
DMV Deutschland GmbH,Bahnstr 61 Remscheid 42859,2028800.0
DOM Sicherheitstechnik GmbH & Co.KG,Wesselinger Straße 10-16 Brühl 50321,1730000.0
DRK gem. Krankenhausgesellschaft mbH Rheinland-Pfalz,Bahnhofstraße 24 Kirchen 57548,1516541.0
DURST MALZ Heinrich Durst Malzfabriken GmbH & Co.KG,Weserstraße 31 Castrop-Rauxel 44579,3244072.0
DWK Drahtwerk Kön GmbH,Schanzenstraße 40 Köln 51063,10138513.0
DYNOS GmbH,Mülheimer Strasse 26 Troisdorf 53840,3744000.0
Dachkeramik Meyer-Holsen GmbH,Tonstraße 78 Hüllhorst 32609,16604663.0
Dachziegelwerke Bilshausen GmbH & Co.KG,Osteroder Straße 2 Bilshausen 37434,30056774.0
Danish Crown Fleisch GmbH,Waldstrasse 7 Essen 49632,9145500.0
Danish Crown Foods Germany GmbH,Schwege 52 Dinklage 49413,3477330.0
Debus Glühen - Wärmebehandlung - Sandstrahlen GmbH,Setzer Straße 6 Kreuztal 57223,1540210.0
Dekor-Kunststoffe GmbH,Melbacher Höhe 1 Erndtebrück 57339,1028600.0
Delkeskamp Verpackungswerke GmbH,Hauptstraße 15 Nortrup 49638,17948076.0
Demag Cranes & Components GmbH,August-Bebel-Str. 2 Uslar 37170,4865569.0
Dettmer Verpackungen GmbH &Co.KG,Gewerbering 19 Lohne 49393,763972.0
Deutsche Apotheker- und Ärztebank,Richard-Oskar-Mattern-Str.6 Düsseldorf 40547,1677265.0
Deutsche Baryt Industrie Dr. Rudolf Alberti GmbH&Co.KG,Bahnhofstr. 21-39 Bad Lauterberg 37431,2882234.0
Deutsche Edelstahlwerke Siegen/Hagen GmbH & Co. KG,Schwanenstrasse 8 Hagen 58089,90489150.0
Deutsche Edelstahlwerke Witten/Krefeld GmbH & Co. KG,Oberschlesienstrasse 16 Krefeld 47807,55340033.0
Deutsche Giessdraht Gesellschaft mbH,Kupferstrasse 5 Emmerich am Rhein 46446,6356000.0
Deutsche Infineum GmbH & Co. KG,Neusser Landstrasse 16 Köln 50735,63898847.0
Deutsche See GmbH,Oldentruper Straße 145 Bielefeld 33605,340738.0
Deutsche Steinzeug Solar Ceramics GmbH,Rheinallee 19 Sinzig 53489,38368732.0
Deutsche Tiernahrung Cremer Gmbh & Co. KG,Am Flugplatz 1 Bramsche 49565,12863998.0
Deutz AG,Ottostr. 1 Köln 51149,11194442.0
Diakonie Klinikum GmbH,Euelsbruchstraße 39 Freudenberg 57258,10918786.0
Dierichs Druck + Media GmbH & Co. KG,Frankfurter Straße 168 Kassel 34121,5860400.0
Digital Reality Germany GmbH,"In der Steele, 25-45 Düsseldorf 40599",22664143.0
Dimension-Polyant GmbH,Speefeld 7 Kempen 47906,2488462.0
Dog's Nature GmbH,Industriestraße 8 Oer-Erkenschwick 45739,3145259.0
Dortmunder Energie- und Wasserversorgung GmbH,Lüserbachstr. 180 Dortmund 44329,19258091.0
Dr. Hahn GmbH & Co. KG,Tenholter Straße 148 Erkelenz 41812,1814792.0
Dr. Haubitz GmbH & Co.KG,Scheffelstrasse 26 Solingen 42699,1270262.0
Dr. Karl Wetekam & Co. KG,Nürnberger Str. 30-32 Melsungen 34212,860000.0
Dr. Otto Suwelack Nachf. GmbH & Co. KG,Josef Suwelack Str. 1 Billerbeck 48727,131684676.0
Draftex Automotive (Sanok Rubber Group),Bahnstraße 29 Grefrath 47929,775342.0
DuBay Polymer GmbH,Frielinghauser Straße 5 Hamm 59071,5429596.0
Duni GmbH,Robert-Bosch-Straße 4 Bramsche 49565,1276398.0
Duni Logistik GmbH,Atterstraße 72 - 74 Osnabrück 49090,492411.0
Dyckerhoff GmbH,Industriestraße 7 Deuna 37355,268798000.0
Döhler GmbH,Kreitzweg 10 Neuss 41472,3747000.0
Döllken Profiles GmbH,Industriestr. 1 Bönen 59199,428620.0
Dörentrup Feuerfestprodukte GmbH & Co. KG,Lemgoer Str. 9 Dörentrup 32694,168964.0
E.ON Energy Solutions GmbH,Ernst-Schering-Str.  8 Bergkamen 59192,282099060.0
E.ON Real Estate GmbH,Brüsseler Platz 1 Essen 45131,1949000.0
ECOWEST Entsogungsverbund Westfalen GmbH,Westring 10 Ennigerloh 59320,237100.0
EDEKA Einkaufskontor GmbH,Raiffeisenstraße 8  Bornheim-Roisdorf 53332,3719002.0
EEW Pipe Production Erndtebrueck GmbH & Co. KG,Im Grünewald 2 Erndtebrück 57339,5907606.0
EGGER Beschichtungswerk Marienmünster GmbH & Co.KG,Flüttenweg 10 Bevern 37639,40080000.0
EGGER Holzwerkstoffe Brilon GmbH & Co. KG,Im Kissen 19 Brilon 59929,83484000.0
EGN Entsorgungsgesellschaft Niederrhein mbH,Hindenburgstraße 116 Viersen 41749,2148000.0
EKT GmbH & Co. KG,Röntgenstraße 38 Bad Salzuflen 32107,1640096.0
ELEKTRISOLA Dr. Gerd Schildbach GmbH & Co. KG,Zur Steinagger 3 Reichshof-Eckenhagen 51580,1754000.0
ELMOS Semiconductor SE,Heinrich-Hertz-Straße 1 Dortmund 44227,26832522.0
ELW Energieversorgung Leinefelde - Worbis GmbH,Am Stadion 12 Leinefelde-Worbis 37339,4364000.0
EMKA  Aluminium GmbH,Industriestr.21-23 Wuppertal 42327,4138244.0
ENERVIE  - Südwestfalen Energie und Wasser AG,Haßleyer Straße 52 Hagen 58093,183243262.0
ER&GE GmbH,Halberstädter Straße 75 Paderborn 33106,2607108.0
ERVIN Germany GmbH,Auf dem Bruch 11 Sprockhövel 45549,8776000.0
ESK-SIC GmbH,Günter-Wiebke Str. 1 Frechen 50226,1746107.0
ETV EING TEXTIL-VEREDLUNG GmbH & Co. KG,Stadtlohner Straße 71 Gescher 48712,1465884.0
EUROQUARZ GmbH,Bestener Straße 250 Dorsten 46282,5522247.0
EVI Abfallverwertung B.V. & Co. KG,Vosmatenweg 6 Laar 49824,906719779.0
Eckes-Granini Deutschland GmbH,Katharinental Hennef (Sieg) 53773,8790192.0
Ed. Heckewerth Nachf. GmbH & Co. KG,Siemensstraße 13 Hiddenhausen 32120,1208300.0
Edelstahlwerk W. Ossenberg & Cie GmbH,Hütte 4-6 Altena 58762,782250.0
